nombre,genero,fuente,ultimo_caracter,,
HEIMY ANDREA,FEMENINO,TUNJA,A,,
ADRIANA MILENA,FEMENINO,TUNJA,A,,
NATALIE VIVIANA,FEMENINO,TUNJA,A,,
PAOLA ANDREA,FEMENINO,TUNJA,A,,
KAREN DANIELA,FEMENINO,TUNJA,A,,
INDYRA JOHANA,FEMENINO,TUNJA,A,,
VIVIANA MARCELA,FEMENINO,TUNJA,A,,
ERIKA ANDREA,FEMENINO,TUNJA,A,,
ELIANA CONSTANZA,FEMENINO,TUNJA,A,,
LINA TATIANA,FEMENINO,TUNJA,A,,
DANIELA LORENA,FEMENINO,TUNJA,A,,
BLANCA LUCIA,FEMENINO,TUNJA,A,,
LUZ MARINA,FEMENINO,TUNJA,A,,
GINNA MARCELA,FEMENINO,TUNJA,A,,
LAURA FERNANDA,FEMENINO,TUNJA,A,,
YAZMIN DALILA,FEMENINO,TUNJA,A,,
MYRIAM STELLA,FEMENINO,TUNJA,A,,
SILVIA VANESSA,FEMENINO,TUNJA,A,,
MARIA STELLA,FEMENINO,TUNJA,A,,
ANGELA ANDREA,FEMENINO,TUNJA,A,,
JOHANA CAROLINA,FEMENINO,TUNJA,A,,
MARLY CONSTANZA,FEMENINO,TUNJA,A,,
PAOLA. ANDREA,FEMENINO,TUNJA,A,,
SANDRA CECILIA,FEMENINO,TUNJA,A,,
MARGARITA,FEMENINO,TUNJA,A,,
ANA VICTORIA,FEMENINO,TUNJA,A,,
CARMEN ROSA,FEMENINO,TUNJA,A,,
MARIA ELENA,FEMENINO,TUNJA,A,,
CLAUDIA TATIANA,FEMENINO,TUNJA,A,,
MARINA,FEMENINO,TUNJA,A,,
DIANA PAOLA,FEMENINO,TUNJA,A,,
DIANA MARCELA,FEMENINO,TUNJA,A,,
LIZETH XIMENA,FEMENINO,TUNJA,A,,
JOHANNA,FEMENINO,TUNJA,A,,
ALEJANDRA,FEMENINO,TUNJA,A,,
ALIX DANIELA,FEMENINO,TUNJA,A,,
MARTHA YINIVA,FEMENINO,TUNJA,A,,
LILIA PATRICIA,FEMENINO,TUNJA,A,,
ADRIANA PAOLA,FEMENINO,TUNJA,A,,
NELCY DANIELA,FEMENINO,TUNJA,A,,
JENNIFER KARINA,FEMENINO,TUNJA,A,,
ADRIANA  MILENA,FEMENINO,TUNJA,A,,
LUZ MARINA,FEMENINO,TUNJA,A,,
MARGARITA,FEMENINO,TUNJA,A,,
INGRID JOHANNA,FEMENINO,TUNJA,A,,
NIDIA STELLA,FEMENINO,TUNJA,A,,
YETZA XIMENA,FEMENINO,TUNJA,A,,
TATIANA MILENA,FEMENINO,TUNJA,A,,
SANDRA MILENA,FEMENINO,TUNJA,A,,
JOHANA ARGEMIRA,FEMENINO,TUNJA,A,,
MARCELA,FEMENINO,TUNJA,A,,
CLAUDIA MILENA,FEMENINO,TUNJA,A,,
LEIDY VIVIANA,FEMENINO,TUNJA,A,,
PAULA MILENA,FEMENINO,TUNJA,A,,
SOLANYI CAROLINA,FEMENINO,TUNJA,A,,
ANGELA CAROLINA,FEMENINO,TUNJA,A,,
DANIELA FERNANDA,FEMENINO,TUNJA,A,,
MIRYAM CAMILA,FEMENINO,TUNJA,A,,
ANGELA PAOLA,FEMENINO,TUNJA,A,,
YURY ALEXANDRA,FEMENINO,TUNJA,A,,
MARIA ANGELICA,FEMENINO,TUNJA,A,,
YULI ANDREA,FEMENINO,TUNJA,A,,
LEIDY MARCELA,FEMENINO,TUNJA,A,,
EDNA XIMENA,FEMENINO,TUNJA,A,,
DIANA MIREYA,FEMENINO,TUNJA,A,,
KAREN DAYANA,FEMENINO,TUNJA,A,,
MARIA ELVIA,FEMENINO,TUNJA,A,,
SONIA MILENA,FEMENINO,TUNJA,A,,
MARIA HILVA,FEMENINO,TUNJA,A,,
LAURA SAMANTHA,FEMENINO,TUNJA,A,,
JESSICA LORENA,FEMENINO,TUNJA,A,,
SANDRA MILENA,FEMENINO,TUNJA,A,,
GLORY ANGELICA,FEMENINO,TUNJA,A,,
LEIDY JOHANNA,FEMENINO,TUNJA,A,,
ADRIANA PATRICIA,FEMENINO,TUNJA,A,,
GINA MARCELA,FEMENINO,TUNJA,A,,
LEIDY YOHANA,FEMENINO,TUNJA,A,,
ZORAIDA CAROLINA,FEMENINO,TUNJA,A,,
MYRIAM CECILIA,FEMENINO,TUNJA,A,,
KAREN JOHANNA,FEMENINO,TUNJA,A,,
KAREN ALICIA,FEMENINO,TUNJA,A,,
NYDIA VIVIANA,FEMENINO,TUNJA,A,,
CLAUDIA PATRICIA,FEMENINO,TUNJA,A,,
NURY LILIANA,FEMENINO,TUNJA,A,,
ANDREA GIOVANNA,FEMENINO,TUNJA,A,,
ANA MILENA,FEMENINO,TUNJA,A,,
ZANDRA PATICIA,FEMENINO,TUNJA,A,,
NIYERED ALEXANDRA,FEMENINO,TUNJA,A,,
MARIA CAMILA,FEMENINO,TUNJA,A,,
NARLIZ ALEJANDRA,FEMENINO,TUNJA,A,,
ANGIE TATIANA,FEMENINO,TUNJA,A,,
MARGARETH NATHALIA,FEMENINO,TUNJA,A,,
ANGA©LICA ESPERANZA,FEMENINO,TUNJA,A,,
GLORIA MILENA,FEMENINO,TUNJA,A,,
MARIA LADY DIANA,FEMENINO,TUNJA,A,,
CAROL MARCELA,FEMENINO,TUNJA,A,,
PAULA ALEJANDRA,FEMENINO,TUNJA,A,,
ANA MARIA,FEMENINO,TUNJA,A,,
SOLVEY YOJANA,FEMENINO,TUNJA,A,,
YENNY ANDREA,FEMENINO,TUNJA,A,,
LIDA PATRICIA,FEMENINO,TUNJA,A,,
NATHALY ANDREA,FEMENINO,TUNJA,A,,
OLGA MARINA,FEMENINO,TUNJA,A,,
LIDIA CONSTANZA,FEMENINO,TUNJA,A,,
YANETH CRISTINA,FEMENINO,TUNJA,A,,
ALEJANDRA,FEMENINO,TUNJA,A,,
DIOSELINA,FEMENINO,TUNJA,A,,
DIANA ANYELIC,FEMENINO,TUNJA,C,,
YURI ASTRID,FEMENINO,TUNJA,D,,
YENY YISED,FEMENINO,TUNJA,D,,
INGRID,FEMENINO,TUNJA,D,,
FRANCY GISED,FEMENINO,TUNJA,D,,
JOHANNA ASTRID,FEMENINO,TUNJA,D,,
LUNITASMIDD,FEMENINO,TUNJA,D,,
NANCY ASTRID,FEMENINO,TUNJA,D,,
MAYDA YASMID,FEMENINO,TUNJA,D,,
ZULY ASTRID,FEMENINO,TUNJA,D,,
INGRID  ASTRID,FEMENINO,TUNJA,D,,
CARMEN ASTRID,FEMENINO,TUNJA,D,,
YAMILE,FEMENINO,TUNJA,E,,
GLORIA  EMILCE,FEMENINO,TUNJA,E,,
MARIA BERENICE,FEMENINO,TUNJA,E,,
DAYAN KATHERINE,FEMENINO,TUNJA,E,,
LAURA LISSETE,FEMENINO,TUNJA,E,,
ANGIE KATHERINE,FEMENINO,TUNJA,E,,
ERIKA CATERINE,FEMENINO,TUNJA,E,,
MARIA AIDE,FEMENINO,TUNJA,E,,
LAURA JAQUELINE,FEMENINO,TUNJA,E,,
ANGELA KATTERINE,FEMENINO,TUNJA,E,,
NELLY MATILDE,FEMENINO,TUNJA,E,,
LIDA IRENE,FEMENINO,TUNJA,E,,
YAZMID IVONNE,FEMENINO,TUNJA,E,,
MARTHA BRIGITTE,FEMENINO,TUNJA,E,,
JULIANA KATHERINE,FEMENINO,TUNJA,E,,
RITA SOLANGE,FEMENINO,TUNJA,E,,
DIANA KATHERINE,FEMENINO,TUNJA,E,,
YADIRA EMILCE,FEMENINO,TUNJA,E,,
GISEL KATHERINE,FEMENINO,TUNJA,E,,
MADELEINE,FEMENINO,TUNJA,E,,
SINDY KATHERINE,FEMENINO,TUNJA,E,,
JEIMY ANDRE,FEMENINO,TUNJA,E,,
ROSANA AIDE,FEMENINO,TUNJA,E,,
DILIA YAMILE,FEMENINO,TUNJA,E,,
LEYDY NAYIBE,FEMENINO,TUNJA,E,,
ANDREA KATHERINE,FEMENINO,TUNJA,E,,
CLAUDIA YANETH,FEMENINO,TUNJA,H,,
SANDRA YANETH,FEMENINO,TUNJA,H,,
MARIA YANETH,FEMENINO,TUNJA,H,,
LUZ YANETH,FEMENINO,TUNJA,H,,
ERIKA YINETH,FEMENINO,TUNJA,H,,
CATHERIN LISETH,FEMENINO,TUNJA,H,,
ADRIANA JANETH,FEMENINO,TUNJA,H,,
ELIZABETH,FEMENINO,TUNJA,H,,
NUBIA EDITH,FEMENINO,TUNJA,H,,
ANDREA ELIZABETH,FEMENINO,TUNJA,H,,
MARTHA YANNETH,FEMENINO,TUNJA,H,,
NELY RUTH,FEMENINO,TUNJA,H,,
LIDIA JANNETH,FEMENINO,TUNJA,H,,
OLGA JUDITH,FEMENINO,TUNJA,H,,
DIANA ELIZABETH,FEMENINO,TUNJA,H,,
LIBIA YANETH,FEMENINO,TUNJA,H,,
MARTHA RUTH,FEMENINO,TUNJA,H,,
KATERIN LIZETH,FEMENINO,TUNJA,H,,
KAREN YINETH,FEMENINO,TUNJA,H,,
CLAUDIA ELIZABETH,FEMENINO,TUNJA,H,,
CLAUDIA YANETH,FEMENINO,TUNJA,H,,
YENNY LISBETH,FEMENINO,TUNJA,H,,
DIANA HEDIRH,FEMENINO,TUNJA,H,,
DORIS JANNETH,FEMENINO,TUNJA,H,,
JHERLY DUVIETH,FEMENINO,TUNJA,H,,
WILMA ELIZABETH,FEMENINO,TUNJA,H,,
BETTY  YANETH,FEMENINO,TUNJA,H,,
MARTHA YANNETH,FEMENINO,TUNJA,H,,
SANDRA JANETH,FEMENINO,TUNJA,H,,
ANGELA ELIZABETH,FEMENINO,TUNJA,H,,
MONICA LIZETH,FEMENINO,TUNJA,H,,
EVELYN LIZETH,FEMENINO,TUNJA,H,,
DANYELA JULIETH,FEMENINO,TUNJA,H,,
SINDY JUDITH,FEMENINO,TUNJA,H,,
MIRIAM  YINETH,FEMENINO,TUNJA,H,,
YUDI,FEMENINO,TUNJA,I,,
JULIETH NATHALI,FEMENINO,TUNJA,I,,
YURANI,FEMENINO,TUNJA,I,,
YURANI,FEMENINO,TUNJA,I,,
SHELKY YURANI,FEMENINO,TUNJA,I,,
JERALDI,FEMENINO,TUNJA,I,,
MAGDALI,FEMENINO,TUNJA,I,,
KAREN YISSELL,FEMENINO,TUNJA,L,,
MARTHA ISABEL,FEMENINO,TUNJA,L,,
CLARA ISABEL,FEMENINO,TUNJA,L,,
CLAUDIA MARIBEL,FEMENINO,TUNJA,L,,
